L	D	resultado	R	PAPI_L2_TCA	fallo
32768	5	12.658094	52428	3614688	0
32768	5	12.824080	52428	3616127	0
32768	5	11.148122	52428	3614217	0
32768	5	11.465565	52428	3614555	0
32768	5	10.333043	52428	3614073	0
32768	5	10.220119	52428	3613573	0
32768	12	20.579559	32768	3496375	0
32768	12	21.991187	32768	3497007	0
32768	12	22.386763	32768	3497150	0
32768	12	22.330167	32768	3497451	0
32768	12	22.379136	32768	3496893	0
32768	12	21.692797	32768	3496673	0
32768	12	23.428695	32768	3495968	0
32768	12	21.095710	32768	3496354	0
32768	12	22.168660	32768	3497275	0
32768	12	20.444963	32768	3496009	0
32768	51	29.657125	32768	3528523	0
32768	51	30.043800	32768	3527659	0
32768	51	28.672311	32768	3528721	0
32768	51	30.640103	32768	3528365	0
32768	51	27.538936	32768	3527499	0
32768	51	30.118516	32768	3528096	0
32768	51	27.253197	32768	3527059	0
32768	51	30.167263	32768	3528838	0
32768	51	27.273285	32768	3527479	0
32768	51	30.121479	32768	3527337	0
32768	93	26.511282	32768	3562087	0
32768	93	30.835275	32768	3564446	0
32768	93	31.274722	32768	3561460	0
32768	93	26.648207	32768	3561443	0
32768	93	32.717021	32768	3561070	0
32768	93	31.974686	32768	3561239	0
32768	93	32.284531	32768	3563089	0
32768	93	32.087221	32768	3561779	0
32768	93	31.214698	32768	3564055	0
32768	93	32.264873	32768	3563952	0
